Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0525-ITA,2022,0525,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Italy,ITA,Southern Europe,Europe,"Stromboli Isl.; Calabia; Sardinia; Tuscany, Liguria, Emilia-Romagna",,Hail,Lightening,,,Yes,,,Kph,,,,,2022,8,14,2022,8,18,2,15,50,,65,,,,,,,,1,1618;1620;1623;1629;1631,,"Calabria, Emilia-romagna, Liguria, Sardegna, Toscana (Adm1)."
2022-0055-RWA,2022,0055,,Natural,Hydrological,Flood,,,,Rwanda,RWA,Eastern Africa,Africa,"Rubavu, Nyabihu, Ngorero, Muhanga, Huye, Rusizi and Gisagara",,Storm,Lightening,,,,,,Km2,,,,,2022,1,1,2022,1,27,15,37,750,,787,,,,,,,,2,,21980;21981;21987;21990;21991;21998;22001,"Gisagara, Huye, Muhanga, Ngororero, Nyabihu, Rubavu, Rusizi (Adm2)."
2022-0053-UGA,2022,0053,,Natural,Hydrological,Flood,Flash flood,,,Uganda,UGA,Eastern Africa,Africa,"Nyarusiza, Muramba and Bunagana (Kisoro District)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,24,2022,1,27,9,,1500,,1500,,,,,,,,1,3125,,Kisoro (Adm1).
2022-0264-AFG,2022,0264,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Kandahar, Helmand, Herat, Badakhshan, Takhar, Parwan, Kunduz, Wardak, Baghlan, Faryab, Jawzjan, Badghis, Bamyan",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,5,2,2022,5,7,20,30,780,,810,,,,,,,,1;2,272;273;274;276;278;283;285;289;300;302;99880,3561,"Badakhshan, Badghis, Baghlan, Bamyan, Faryab, Jawzjan, Kandahar, Kunduz, Parwan, Takhar, Wardak (Adm1). Herat (Adm2)."
2022-0442-AFG,2022,0442,FL-2022-000262,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Nuristan, Kunar, Langman, Logar, Paktya, Ghazni, Maidan Wardak, Parwan Uruzgan, Kandahar, Zabul, Paktia, Khost, Nangarhar provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6,30,2022,7,11,44,54,,14500,14554,,,,,,,,1,279;285;287;288;290;291;292;294;295;296;303;99880;99881,,"Ghazni, Kandahar, Khost, Kunar, Laghman, Logar, Nangarhar, Nuristan, Paktika, Paktya, Parwan, Uruzgan, Zabul (Adm1)."
2022-0149-BRA,2022,0149,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Petrópolis City and the Fluminense Mountain Region (Rio de Janeiro State),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,3,20,2022,3,22,8,,800,,800,,,,,,,,1,683,,Rio De Janeiro (Adm1).
2022-0190-BRA,2022,0190,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Angra dos Reis, Paraty, Mesquita, Duque de Caxias, Cachoeiras de Macacu (Rio de Janeiro state)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,1,2022,4,4,23,,31500,,31500,,,,,131000,,,1,683,,Rio De Janeiro (Adm1).
2022-0318-BRA,2022,0318,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Pernambuco, Alagoas and Paraíba states; Olinda, Jaboatão dos Guararapes, São José da Coroa Grande (greater Ricefe region)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,"Negro, Amazon, Jurua, Purus, Madeira and Solimões Rivers",2022,5,24,2022,5,30,116,4,24300,,24304,,,,,450000,,,1,666;679;681,,"Alagoas, Paraiba, Pernambuco (Adm1)."
2022-0793-BRA,2022,0793,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Carapebus and Conceição de Macabu (Rio de Janeiro State); Santa Catarina state; Paranà State; Espirito Santo State, Curitiba, Bahia",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Doce River,2022,11,29,2022,12,4,32,,,,,,,,,,,,,,,
2022-0334-CHN,2022,0334,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Baoxing, Lushan counties (Sichuan province)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,30.395,102.958,17:00,,2022,6,1,2022,6,1,4,41,13500,,13541,,,,,,,,1,924,,Sichuan Sheng (Adm1).
2022-0428-CHN,2022,0428,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,"Sichuan, Zhejiang, Gansu provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Liao River,2022,7,15,2022,7,20,24,,3000,,3000,,,,,100000,,,1,902;924;930,,"Gansu Sheng, Sichuan Sheng, Zhejiang Sheng (Adm1)."
2022-0530-CHN,2022,0530,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,Datong County (Qinghai); Pengzhou (Sichuan); Heilongjiang and Shanxi,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,8,17,2022,8,19,52,,6200,,6200,,,,,,,,1,908;919;923;924,,"Heilongjiang Sheng, Qinghai Sheng, Shanxi Sheng, Sichuan Sheng (Adm1)."
2022-0316-CHN,2022,0316,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Fujian, Yunnan, Guangxi, Hunan, Jiangxi, Guizhou Provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,5,9,2022,5,15,15,,,,,,,200000,,3900000,,,1,901;903;905;912;914;929,,"Fujian Sheng, Guangdong Sheng, Guizhou Sheng, Hunan Sheng, Jiangxi Sheng, Yunnan Sheng (Adm1)."
2022-0347-CIV,2022,0347,FL-2022-000249,Natural,Hydrological,Flood,,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Abobo, Anyama, Attecoubé, Bingerville, Port-Bouët, Grand-Bassam (Abidjan); Azaguié, Bonoua, Dabo; B Alépé, Azaguié, Bonoua, Dabou,",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6,16,2022,6,21,13,114,11478,,11592,,,,,,,,1,16838,,District autonome de Abidjan (Adm1).
2022-0192-COL,2022,0192,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Cundinamarca, Cauca, Antioquia, Huila, Nariño, Caldas, Quindío, Risaralda, Tolima, and Valle del Cauca",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,3,15,2022,4,3,10,14,5500,,5514,,,,,,,,1,935;941;944;948;952;955;958;959;963;964,,"Antioquia, Caldas, Cauca, Cundinamarca, Huila, Narino, Quindio, Risaralda, Tolima, Valle Del Cauca (Adm1)."
2022-0200-COL,2022,0200,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,La Antigua village (Antioquia department),Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,7,2022,4,8,20,25,,,25,,,,,,,,1,935,,Antioquia (Adm1).
2022-0229-COL,2022,0229,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Nariño department, Melgar Municipality (Tolima Department)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,,2022,4,21,5,1,8100,,8101,,,,,,,,1;2,955,14344,Narino (Adm1). Melgar (Adm2).
2022-0233-COL,2022,0233,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Viotá, Chachipay, Arbeláez Municipalities (Cundimarca)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,21,2022,4,22,12,,,,,,,,,,,,2,,13841;13846;13947,"Arbelaez, Cachipay, Viota (Adm2)."
2022-0328-COL,2022,0328,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Meta Department,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,5,25,2022,5,27,,,5000,,5000,,,,,,,,1,954,,Meta (Adm1).
2022-0699-COL,2022,0699,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Bosconia Municipality (Cesar Department); Montecristo, San Juan Municipalities (Bolivar Department); Bello Municipality (Antioquia Department); Norte de Santander, Nariño, Cauca, Tolima, Atlántico, Boyacá, Magdalena departments",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,10,19,2022,10,31,26,,44000,,44000,,,,,,,,1;2,937;939;944;953;955;956;963,13357;13515;13522;13763,"Atlantico, Boyaca, Cauca, Magdalena, Narino, Norte De Santander, Tolima (Adm1). Bello, Bosconia, Montecristo, San Juan Nepomuceno (Adm2)."
2022-0743-COL,2022,0743,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Bogotá area; North Santander department; La Calera municipality (Cundinamarca Department),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,11,14,2022,11,15,7,,270,,270,,,,,,,,1;2,956,13882,Norte De Santander (Adm1). La Calera (Adm2).
2022-0406-ECU,2022,0406,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Pastaza, Zamora Chinchipe, Azuay, Chimborazo,Tungurahua provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Pastaza Rive,2022,7,3,2022,7,5,3,,600,,600,,,,,,,,1,1135;1139;1152;1155;1156,,"Azuay, Chimborazo, Pastaza, Tungurahua, Zamora Chinchipe (Adm1)."
2022-0178-ECU,2022,0178,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,Azuay Province,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,3,27,2022,3,28,4,27,81,,108,,,,,,,,1,1135,,Azuay (Adm1).
2022-0317-GTM,2022,0317,,Natural,Hydrological,Flood,,,,Guatemala,GTM,Central America,Americas,"Tucurú Municipality (Alta Verapaz); Guatemala, Huehuetenango, Quiché, Santa Rosa, Solóla, Gualán, Zacapa, Retalhuleu, Suchitepéquez, Quetzaltenango",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,4,15,2022,6,22,42,5,2890000,,2890005,,,,,,,,1;2,64821;64826;64827;64829;64830;64831;64833;64834,65101,"Guatemala, Huehuetenango, Quetzaltenango, Quiché, Retalhuleu, Santa Rosa, Solola, Suchitepéquez (Adm1). Tucur?? (Adm2)."
2022-0324-IDN,2022,0324,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Cipelang Village (Bogor Regency, West Java Province), Medan City (North Sumatra Province); Central Java Province; Central and North Kalimantan Province",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,5,21,2022,5,24,,1,17200,,17201,,,,,,,,,,,
2022-0418-IDN,2022,0418,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"South Sulawesi, Central Sulawesi and Gorontalo provinces; Maluku Archipelago",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,7,5,2022,7,12,7,,3126,,3126,,,,,,,,,,,
2022-0694-IDN,2022,0694,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Karangasem Regency (eastern Bali); Bangli Regency (eastern Bali); Jembrana Regency (western Bali),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,10,3,2022,10,21,5,3,200,,203,,,,,,,,,,,
2022-0736-IDN,2022,0736,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lampung Province (the southernmost Province of Sumatra); Tangerang Regency (Banten Province, northern Java); Bandung Regencies (West Java Province); Pesawaran Regency (Lampung Province, southern Sumatra)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,11,7,2022,11,14,3,,7000,,7000,,,,,,,,,,,
2022-0539-IND,2022,0539,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand and Jharkhand States",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,8,,2022,8,22,63,,800000,,800000,,,,,,,,1,1493;70078;70082,,"Himachal Pradesh, Jharkhand, Uttarakhand (Adm1)."
2022-0476-IRN,2022,0476,FF-2022-00274,Natural,Hydrological,Flood,Flash flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"East Azarbaijan, Isfahan, Alborz, Bushehr, Tehran, Charmahal Bakhtiyari, South Khorasan, Khorasan Razavi, North Khorasan, Khuzestan, Zanjan, Semnan, Sistan-Baluchistan, Fars, Qazvin, Qom, Kerman, Kohgiluyeh and Boyer-Ahmad, Golestan, Lorestan, Mazandaran, Markazi, Hormozgan, Hamedan, Yazd",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,7,23,2022,7,31,98,,72000,,72000,,,,,200000,,,1;2,1540;1541;1542;1544;1547;1548;1550;1551;1552;1555;1556;1557;1558;1559;1560;1562;1563;33111,40892,"Bushehr, Chaharmahal-o bakhtiyar, East Azarbayejan, Fars, Golestan, Hormozgan, Kerman, Khorasan, Khuzestan, Kohgiluyeh va boyerahma, Lorestan, Markazi, Mazandaran, Semnan, Sistan-o baluchestan, Tehran, Yazd, Zanjan (Adm1). Bahar (Adm2)."
2022-0627-JPN,2022,0627,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Talas',Japan,JPN,Eastern Asia,Asia,"Kakegawa, Fukuroi (Shizuoka prefecture); Chibu",,"Slide (land, mud, snow, rock)",,,,,,65,Kph,,,,,2022,9,25,2022,9,25,3,,13323,,13323,,,,,,,,,,,
2022-0515-LAO,2022,0515,FL-2022-000292,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Houaphan, Xaignabouri, Borkeo, Luangprabang, Vientiane Capital, Salawan, Savanakhet, Champasak","Heavy rains, Tropical Depression Mulan","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,8,7,2022,8,10,1,2,42550,,42552,,,,,,,,1,1756;1757;1763;1764;1765;1768,,"Champasak, Houaphan, Salavan, Savannakhet, Vientiane capital, Xaignabouli (Adm1)."
2022-0026-TON,2022,0026,VO-2022-000005,Natural,Geophysical,Volcanic activity,Ash fall,,Hunga-Tonga-Hunga-Ha'apai,Tonga,TON,Polynesia,Oceania,Hunga Tonga-Hunga Ha’apai; Nuku’alofa; Uoleva; Uiha and Nomuka,,Tsunami/Tidal wave,,,Yes,Yes,,,,,,,,2022,1,15,2022,1,15,4,,84176,,84176,,,,,117000,,,,,,
2022-0684-COL,2022,0684,FL-2022-000264,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Guaranda, Majagual, Sucre-Sucre, Caimito, San Marcos, San Benito, La Union (La Mojana sub-region)",Heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,,2022,8,27,2022,10,18,,,167250,,167250,,,,,,,,2,,14294;14299;14302,"Caimito, Guaranda, Majagual (Adm2)."
2022-0126-USA,2022,0126,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Madison county (Iowa state); Illinois, Indiana, Ohio, Arkansas, Kentucky, New Hampshire, Pennsylvania, Maryland, New York, New Jersey, New England",,Hail,,,,Yes,,275,Kph,,,,,2022,3,5,2022,3,7,8,,90,,90,,,,,700000,,,1;2,3217;3227;3228;3231;3234;3243;3244;3246;3249;3252,29527,"Arkansas, Illinois, Indiana, Kentucky, Maryland, New Hampshire, New Jersey, New York, Ohio, Pennsylvania (Adm1). Madison (Adm2)."
2022-0449-CAF,2022,0449,FL-2022-000330,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,"Lobaye, Bangui, Ouaka, Ouham-Pendé",Heavy rains,Storm,,,,,,,Km2,,,,,2022,6,,2022,10,4,16,3,118000,,118003,,,,,,,,1,858;864;866;67154,,"Bangui, Lobaye, Ouaka, Ouham-Pendé (Adm1)."
2022-0492-GMB,2022,0492,FL-2022-000276,Natural,Hydrological,Flood,,,,Gambia (the),GMB,Western Africa,Africa,"Banjul, Kanifing Local Government Area,West Coast and North Bank Region",Heavy rains,Storm,,,,,,,Km2,,,,,2022,7,30,2022,8,6,6,,17201,,17201,,,,,,,,1;2,1288;1290,16405,"North Bank, West Coast (Adm1). Banjul (Adm2)."
2022-0782-IDN,2022,0782,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Eastern Java Island,Heavy rains,Storm,,,,,,,Km2,,,,,2022,11,25,2022,11,27,1,,12500,,12500,,,,,,,,,,,
2022-0034-SYR,2022,0034,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Syrian Arab Republic,SYR,Western Asia,Asia,Afrin and Azaz district (Aleppo Governorate) and Harim district (Idleb Governorate),,Cold wave,,,,,,,Kph,,,,,2022,1,18,2022,1,25,2,,362700,,362700,,,,,,,,2,,26313;26314;26364,"A'zaz, Afrin, Harim (Adm2)."
2022-9524-CHN,2022,9524,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Chongqing, Hubei, Jiangxi, Tibet, Sichuan, Hunan, Anhui",High temperatures and lack of rainfall,Heat wave,,,,,,,Km2,,,,,2022,7,15,2022,8,,,,6100000,,6100000,,,,,5000000,,,1,898;900;911;912;914;924,,"Anhui Sheng, Chongqing Shi, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Sichuan Sheng (Adm1)."
2022-0533-CMR,2022,0533,,Natural,Hydrological,Landslide,Landslide,,,Cameroon,CMR,Middle Africa,Africa,Northwest and Southwest Regions,Heavy rains,Flood,,,,,,,,,,,,2022,8,11,2022,8,11,5,,100,150,250,,,,,,,,,,,
2022-0647-CRI,2022,0647,TC-2022-000343,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Julia',Costa Rica,CRI,Central America,Americas,"Guanacaste, San Jose, Punta Arenas",,Flood,,,,,,,Kph,,,,,2022,10,9,2022,10,9,,,300000,,300000,,,,,,,,1,983;986;987,,"Guanacaste, Puntarenas, San Jose (Adm1)."
2022-0603-GLP,2022,0603,TC-2022-000314,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Fiona',Guadeloupe,GLP,Caribbean,Americas,,,Flood,,,,,,,Kph,,,,,2022,9,16,2022,9,17,1,,,,,,,,,,,,,,,
2022-0775-ITA,2022,0775,,Natural,Hydrological,Landslide,Mudslide,,,Italy,ITA,Southern Europe,Europe,Casamicciola municipality (northern Ischia Island),Heavy rains,Flood,,,,Yes,,,,,,,,2022,11,26,2022,11,26,12,5,230,,235,,,,,,,,,,,
2022-0577-KOR,2022,0577,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Hinnamnor',Korea (the Republic of),KOR,Eastern Asia,Asia,"Jeju Isl., Busan, Pohang, Sancheong, Ulsan, Namhe, Tongyeong, Jindo, Sinan",,Flood,,,,,,,Kph,,,,,2022,9,4,2022,9,6,12,3,36000,,36003,,,,,,,,,,,
2022-9252-CPV,2022,9252,CE-2022-000200,Natural,Climatological,Drought,Drought,,,Cabo Verde,CPV,Western Africa,Africa,"Ribeira Grande de Santiago, Santa Cruz, Sao Domingos (Island of Santiago ); and Porto Novo (Santo Antao island)",,Food shortage,,,,Yes,,,Km2,,,,,2022,,,2022,4,,,,46093,,46093,,,,,,,,1,848;849,,"Santiago, Santo Antao (Adm1)."
2022-9370-DJI,2022,9370,DR-2022-000238,Natural,Climatological,Drought,Drought,,,Djibouti,DJI,Eastern Africa,Africa,"Ali Sabieh, Arta, Dikhil, Obock and Tadjoura",Ongoing drought and compounding regional and international shocks,Food shortage,,,,,,,Km2,,,,,2022,6,,2022,7,,,,192168,,192168,,,,,,,,1,1093;1094;1096;1097,,"Ali Sabieh, Dikhil, Obock, Tadjourah (Adm1)."
2022-0397-CHN,2022,0397,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Chaba',China,CHN,Eastern Asia,Asia,"Hainan Island, Guangxi, and Guangdong Provinces",,Transport accident,,,,,,144,Kph,,,,,2022,7,1,2022,7,4,24,,,,,,,,,,,,1,903;904;906,,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng (Adm1)."
2022-0525-AUT,2022,0525,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Austria,AUT,Western Europe,Europe,Kärnten and Niederösterreich,,Lightening,,,,,,,Kph,,,,,2022,8,17,2022,8,18,,13,,,13,,,,,,,,1,480,,Niederosterreich (Adm1).
2022-0525-FRA,2022,0525,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,Corsica,,Lightening,,,,,,,Kph,,,,,2022,8,17,2022,8,18,5,33,,,33,,,,,,,,1,1256,,Corse (Adm1).
2022-0081-POL,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Poland,POL,Eastern Europe,Europe,,,,,,,,,,Kph,,,,,2022,1,28,2022,1,31,1,12,,,12,,,,,,,,,,,
2022-0097-POL,2022,0097,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),Poland,POL,Eastern Europe,Europe,"Krakow, Dobrzyca",,,,Yes,,,,80,Kph,,,,,2022,2,16,2022,2,17,2,,1500,,1500,,,,,,,,,,,
2022-0112-POL,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),Poland,POL,Eastern Europe,Europe,,,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,4,,,,,,,,,,,,,,,
2022-0096-PSE,2022,0096,CW-2022-000163,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,"Palestine, State of",PSE,Western Asia,Asia,West Bank & Gaza Strip,,,,,,,,,°C,,,,,2022,1,26,2022,1,31,4,,3500,,3500,,,,,,,,,,,
2022-0061-REU,2022,0061,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Batsirai',Réunion,REU,Eastern Africa,Africa,,,,,,,,,,Kph,,,,,2022,2,5,2022,2,6,,13,,,13,,,,,,,,,,,
2022-0119-THA,2022,0119,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,,Heavy rains,,,,,,,,Km2,,,,,2022,2,25,2022,2,28,6,,60000,,60000,,,,,,,,,,,
2022-0037-URY,2022,0037,,Natural,Hydrological,Flood,,,,Uruguay,URY,South America,Americas,"Montevideo Capital City, Canelones Municipality",Heavy rains,,,,,,,,Km2,,,,,2022,1,17,2022,1,18,,,,,,,,,,,,,1,3266;3274,,"Canelones, Montevideo (Adm1)."
2022-0080-USA,2022,0080,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Hale, Sumter, Elmore Counties (central Alabama); Rockies, Plains, Mid-Atlantic, Northeasr",,,,,,,,,Kph,,,,,2022,2,1,2022,2,5,10,,,,,,,,,500000,,,2,,28716;28723;28750,"Elmore, Hale, Sumter (Adm2)."
2022-0132-USA,2022,0132,,Natural,Climatological,Wildfire,,,Adkins Ave Fire and Bertha Swamp Road Fires; Cottonwood Complex Fires,United States of America (the),USA,Northern America,Americas,"Calhoun and Gulf Counties (Florida); Reno, Harvey Counties (Kansas)","Prolonged period of dry conditions, steady winds, and abundant fuels",,,,,,,,Km2,,,,,2022,3,4,2022,3,9,,,,108,108,,,,,,,,2,,29004;29019;29605;29643,"Calhoun, Gulf, Harvey, Reno (Adm2)."
2022-0009-ZAF,2022,0009,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Eastern Cape Province,Heavy rains,,,,,,,,Km2,,,,,2022,1,8,2022,1,9,10,,,,,,,,,65000,,,1,77310,,Eastern Cape (Adm1).
2022-0035-ZAF,2022,0035,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Ladysmith and Msinga (KwaZulu-Natal Province),Heavy rains,,,,,,,,Km2,,,,,2022,1,15,2022,1,16,1,,100,,100,,,,,99000,,,1,77311,,KwaZulu-Natal (Adm1).
2022-0077-ZAF,2022,0077,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Gauteng Province; KwaZulu-Natal,Heavy rains,,,,,,,,Km2,,,,,2022,2,4,2022,2,5,3,,,138,138,,,,,,,,1,2708;77311,,"Gauteng, KwaZulu-Natal (Adm1)."
2022-0108-ZAF,2022,0108,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Gauteng Province,Heavy rains,,,,,,,,Km2,,,,,2022,2,21,2022,2,22,4,,187,,187,,,,,,,,1,2708,,Gauteng (Adm1).
2022-0043-ZMB,2022,0043,FL-2022-000135,Natural,Hydrological,Flood,,,,Zambia,ZMB,Eastern Africa,Africa,"Namwala, Kalomo and Choma Districts",Heavy rains,,,,,,,,Km2,,,,Kafue River,2022,1,13,2022,1,20,3,,15000,,15000,,,,,,,,2,,65228;65231;65236,"Choma, Kalomo, Namwala (Adm2)."
2022-0052-ZWE,2022,0052,TC-2022-000161,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ana',Zimbabwe,ZWE,Eastern Africa,Africa,"Kariba, Hurungwe districts (Mashonaland West) ; Muzarabani district (tMashonaland Central); Mudzi, Chikomba districts (Mashonaland East); Masvingo rural, Chici districts (Masvingo); Mutasa, Chimanimani, Chipinge, Nyanga districts (Manicaland)",,,,,,,,,Kph,,,,,2022,1,25,2022,1,25,,,3000,,3000,,,,,,,,1;2,3438,33054;33055;33058;33059;33070;33076;33078;33083;33085;40749,"Mashonaland Central (Adm1). Chikomba, Chimanimani, Chipinge, Chivi, Hurungwe, Kariba, Masvingo, Mudzi, Mutasa, Nyanga (Adm2)."
2022-0043-ZWE,2022,0043,FL-2022-000135,Natural,Hydrological,Flood,,,,Zimbabwe,ZWE,Eastern Africa,Africa,Victoria Falls City (Matabeleland North Province),Heavy rains,,,,,,,,Km2,,,,,2022,1,13,2022,1,21,,,,,,,,,,,,,1,69549,,Matabeleland North (Adm1).
2022-0342-AFG,2022,0342,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Giyan, Barmal, and Ziruk Districts in Paktika Province, and Spera (Khost Province)",,,,,,,,6,Richter,33.092,69.514,,,2022,6,21,2022,6,21,1036,2989,361634,,364623,,,,,,,,2,,3622;3685;3687;3699,"Bermel, Gyan, Spera, Ziruk (Adm2)."
